check	target	status	detail
required_directory	scripts	pass	directory present
required_directory	R	pass	directory present
required_directory	config	pass	directory present
required_directory	results/qc	pass	directory present
required_directory	Backup	pass	directory present
required_directory	scripts/Backup	pass	directory present
minimum_review_file	scripts/00_run_full_audit.py	pass	682 bytes
minimum_review_file	scripts/audit_common.py	pass	2052 bytes
minimum_review_file	scripts/01_build_expected_manifest.py	pass	997 bytes
minimum_review_file	scripts/02_audit_raw_downloads.py	pass	1542 bytes
minimum_review_file	scripts/01_prepare_exposure_fast.R	pass	272 bytes
minimum_review_file	scripts/Backup/01_prepare_exposure.R	pass	161 bytes
qc_tsv_family	*current*manifest*.tsv	pass	results/qc/expected_current_manifest.tsv
qc_tsv_family	*audit*summary*.tsv	pass	results/qc/audit_summary.tsv
qc_tsv_family	*tracking*manifest*.tsv	pass	results/qc/tracking_manifest.tsv
